код;внешний код;наименование МС;чип у нашего поставщика;что у поставщиков с остатком;согласие поставщиков;варианты модели в ТК;вывод
5952t2;5952;DC-KTPCM130 Фотобарабан T2 для Катюша P130/M130 (12000стр.) с чипом PC;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
5970sp;5970;Картридж SP TN-2510XXL для Brother черный (с чипом);с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
5970sp;5970;Картридж SP TN-2510XXL для Brother черный (с чипом);с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
6068t2;6068;TC-XC230B Картридж T2 для Xerox C230/C235 (3000 стр.) черный, с чипом ;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
6069t2;6069;TC-XC230M Картридж T2 для Xerox C230/C235 (2500 стр.) пурпурный, с чип;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
6070t2;6070;TC-XC230Y  Картридж T2 для Xerox C230/C235 (2500 стр.) желтый, с чипом;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
6119t2;6119;TC-XC230C Картридж T2 для Xerox C230/C235 (2500 стр.) голубой, с чипом;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
6229cs;6229;Картридж лазерный Cactus CS-LX20N5HM0 20N5HM0 пурпурный (4500стр.) для;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
6254bt;6254;Заправочный комплект Xerox B230/B225/B235 006R04403 банка 100г/чип (3k;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
6278cs;6278;Картридж струйный Cactus CS-PFI030M PFI-030M пурп.пигм. (55мл) для Can;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6309cs;6309;Картридж лазерный Cactus CS-EXV63 5142C002 черный (30000стр.) для Cano;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6332ep;6332;Тонер-картридж EasyPrint LK-1160XL для Kyocera ECOSYS P2040dn/P2040dw ;с чипом;с чипом×1;поставщик один;5772:с чипом;есть куда перенести
6382ep;6382;DL-R5220 Драм-картридж EasyPrint DPM-DL-R5220 для Pantum BP5200/BM5201;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
6382t2;6382;СРОЧНО DC-PMR5220 Фотобарабан T2 для Pantum BP5200/BM5201 (30000 стр.);с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
6383cs;6383;Картридж лазерный Cactus CS-TL-C2310H TL-C2310H черный (1600стр.) для ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6383cs;6383;Картридж лазерный G&G GG-TLC2310H TL-C2310H черный (1600стр.) для Pant;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6383ep;6383;TL-C2310H Картридж EasyPrint LPM-TL-C2310H для Pantum BP2300/BM2300 (1;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6383t2;6383;TC-PMC2310H Картридж T2 для Pantum BP2300/BM2300 (1600 стр.) с чипом;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6511cs;6511;Картридж лазерный Cactus CS-TK5430K TK-5430K черный (1250стр.) для Kyo;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6512cs;6512;Картридж лазерный Cactus CS-TK5430C TK-5430C голубой (1250стр.) для Ky;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6513cs;6513;Картридж лазерный Cactus CS-TK5430M TK-5430M пурпурный (1250стр.) для ;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
6514cs;6514;Картридж лазерный Cactus CS-TK5430Y TK-5430Y желтый (1250стр.) для Kyo;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
