код;внешний код;наименование МС;Название WB (соберём);бренды ТК
5557bt;5557;Блок проявки OEM DV-5140 (302NR93040) для Kyocera ECOSYS M6030, P6230 (Пурпурный, тех. упаковка);Блок проявки DV-5140 для Kyocera черный;Kyocera
5559bt;5559;*Восстановленный* Блок проявки БУЛАТ DV-8115 (302P393020) для Kyocera ECOSYS M8124 (Голубой), ref.;Блок проявки DV-8115 для Kyocera голубой;Kyocera
5559sp;5559;Блок проявки DV-8115 (302P393020) для Kyocera, голубой (ОЕМ);Блок проявки DV-8115 для Kyocera голубой;Kyocera
5560bt;5560;*Восстановленный* Блок проявки БУЛАТ DV-8115 (302P393040) для Kyocera ECOSYS M8124 (Пурпурный), ref.;Блок проявки DV-8115 для Kyocera пурпурный;Kyocera
5560sp;5560;Блок проявки DV-8115 (302P393040) для Kyocera, пурпурный (ОЕМ);Блок проявки DV-8115 для Kyocera пурпурный;Kyocera
5561bt;5561;$$_СРОЧНО *Восстановленный* Блок проявки БУЛАТ DV-8115 (302P393050) для Kyocera ECOSYS M8124 (Жёлтый), ref.;Блок проявки DV-8115 для Kyocera желтый;Kyocera
5561sp;5561;Блок проявки DV-8115 (302P393050) для Kyocera, желтый (ОЕМ);Блок проявки DV-8115 для Kyocera желтый;Kyocera
5562bt;5562;Блок проявки OEM DV-5230M (302R793050) для Kyocera ECOSYS P5021,  P5026 (Пурпурный, 100000 стр., тех. упаковка);Блок проявки DV-5230M для Kyocera пурпурный;Kyocera
5562sp;5562;Блок проявки DV-5230M (302R793051) для Kyocera, пурпурный (ОЕМ);Блок проявки DV-5230M для Kyocera пурпурный;Kyocera
5563bt;5563;Блок проявки OEM DV-5230C (302R793060) для Kyocera ECOSYS P5021, P5026 (Голубой, 100000 стр., тех. упаковка);Блок проявки DV-5230C для Kyocera голубой;Kyocera
5564bt;5564;Блок проявки OEM DV-5230Y (302R793040) для Kyocera ECOSYS P5021, P5026 (Жёлтый, 100000 стр., тех. упаковка);Блок проявки DV-5230Y для Kyocera желтый;Kyocera
5564sp;5564;Блок проявки DV-5230Y (302R793041) для Kyocera, желтый (ОЕМ);Блок проявки DV-5230Y для Kyocera желтый;Kyocera
5565bt;5565;Драм-картридж БУЛАТ s-Line C950X73G для Lexmark X950de, X952de, X954de, X950dhe, C950de (Цветной, 115000 стр.);Набор фотобарабанов C950X73G для Lexmark;Lexmark
5566bt;5566;*Восстановленный* Драм-юнит БУЛАТ s-Line 700P, 70C0P00 (модуль фотопроводника) для Lexmark CS310, CX310, CX317 (Цветной, 40000 стр.), универсальный, ref.;Фотобарабан 70C0P00 для Lexmark голубой/желтый/пурпурный;Lexmark
5570bt;5570;*Восстановленный* Блок фотобарабана в сборе с блоком проявки БУЛАТ D1862276 для Ricoh MP C3003 (Голубой), ref.;Фотобарабан D1862276 для Ricoh MP C3003 голубой;Ricoh
5571sl;5571;Блок проявки БУЛАТ s-Line 604K86560 для Xerox DC 240, WC 7755, Color 550, DCP 700 (Цветной, без девелопера);Картридж 604K86560 для Xerox голубой/желтый/пурпурный;Xerox
5572sl;5572;Тонер-картридж БУЛАТ s-Line MX-36GTCA для Sharp MX-2610 (Голубой, 15000 стр.), совместимый;Тонер-картридж MX-36GTCA для Sharp голубой;Sharp
5573sl;5573;Тонер-картридж БУЛАТ s-Line MX-36GTMA для Sharp MX-2610 (Пурпурный, 15000 стр.), совместимый;Тонер-картридж MX-36GTMA для Sharp пурпурный;Sharp
5574sl;5574;Тонер-картридж БУЛАТ s-Line MX-36GTYA для Sharp MX-2610 (Жёлтый, 15000 стр.), совместимый;Тонер-картридж MX-36GTYA для Sharp желтый;Sharp
5575bt;5575;Драм-картридж OEM DR-1070U для Avision AP30A, AM30A (15000 стр.);Фотобарабан DR-1070U для Avision черный;Avision
5575bt;5575;Драм-картридж DR-1070U для Avision AP30A, AM30A (Чёрный, 15000 стр.);Фотобарабан DR-1070U для Avision черный;Avision
5576t2;5576;DC-AV-DR-1070U Фотобарабан T2 для Avision AP30A/AM30A/AP406 (35000стр.) с чипом;Фотобарабан DR-1070U для Avision черный с чипом;Avision
5576wb;5576;Картридж для Avision DR1070U AP30A/AM30A/AP406 35K White Box (Совместимый);Фотобарабан DR-1070U для Avision черный с чипом;Avision
5577bt;5577;Заправочный комплект для Pantum PC-212EV (тонер+чип) 1.6K, GRAFIT;Заправочный комплект PC-212EV ZK для Pantum с чипом без счётчика;Pantum
5577bt;5577;Заправочный комплект БУЛАТ PC-212EV для Pantum M6502, M6552, P2502, банка 65 г, многоразовый чип;Заправочный комплект PC-212EV ZK для Pantum с чипом без счётчика;Pantum
5577bt;5577;Заправочный комплект БУЛАТ PC-212EV для Pantum M6502, M6552, P2502, банка 65 г, чип (1600 стр.);Заправочный комплект PC-212EV ZK для Pantum с чипом без счётчика;Pantum
5583sp;5583;Картридж SP 135X (W1350X) для HP черный (с чипом);Картридж W1350X для HP 135X черный с чипом;HP
5585sl;5585;Блок проявки БУЛАТ s-Line DV311K (A0XV03D) для Konica Minolta bizhub C220 (Чёрный, 115000 стр.);Блок проявки DV311K для Konica A0XV03D черный;Konica Minolta
5586hb;5586;Картридж Hi-Black (HB-W1107A) для HP Laser 103/107/MFP 135/137, 1K;Картридж W1107A для HP 107А черный;HP
5588ct;5588;Картридж Colortek HP W9014MC 69k;Картридж W9014MC для HP черный с чипом;HP
5591pl;5591;Драм-картридж PL-013R00675 для принтеров Xerox AltaLink B8045/B8055/B8075/B8090/WorkCentre 5945/5955 200000 копий ProfiLine;Фотобарабан 013R00675 для Xerox черный;Xerox
5595bt;5595;Тонер-картридж БУЛАТ s-Line MX-36GTBA для Sharp MX-2610 (Чёрный, 24000 стр.), совместимый;Тонер-картридж MX-36GTBA для Sharp EFSHMX2610010 черный;Sharp
5596cs;5596;Картридж лазерный G&G GG-W1510A W1510A черный (3050стр.) для HP LJ Pro 4003n/dn/dw/MFP4103 fdn/fdw;Картридж W1510A для HP 151A черный с чипом;HP
5597pl;5597;Картридж PL-W1510X для принтеров HP LJ Pro 4003dw/MFP 4103dw/4103fdw 9700 копий ProfiLine;Картридж W1510X для HP 151X черный с чипом;HP
5600bs;5600;Блок проявки Kyocera DV-1150 для Ecosys M2040/21352540/2735/P2040/2235/2335 100K. Blossom;Блок проявки DV-1150 для Kyocera черный;Kyocera
5600nv;5600;Блок проявки NVP совместимый NV-DV-1150;Блок проявки DV-1150 для Kyocera черный;Kyocera
5600wb;5600;Картридж для Kyocera DV-1150 EcoSys-M2040/P2040 Developer Unit White Box (Совместимый);Блок проявки DV-1150 для Kyocera черный;Kyocera
5602cs;5602;Картридж лазерный Cactus CS-D320T24KK D320T24KK черный (24000стр.) для Катюша D330e/D332e;Картридж D320T24KK для Катюша черный;Катюша
5602hb;5602;Тонер-картридж Hi-Black (HB-D320T24KBK) для Катюша D330e/D332e, Bk, 24K;Картридж D320T24KK для Катюша черный;Катюша
5602nv;5602;Картридж NVP совместимый NV-D320T24KK Black;Картридж D320T24KK для Катюша черный;Катюша
5603cs;5603;Картридж лазерный Cactus CS-D320T24KC D320T24KC голубой (24000стр.) для Катюша D330e/D332e;Картридж D320T24KC для Катюша голубой;Катюша
5603hb;5603;Тонер-картридж Hi-Black (HB-D320T24KC) для Катюша D330e/D332e, C, 24K;Картридж D320T24KC для Катюша голубой;Катюша
5603nv;5603;Картридж NVP совместимый NV-D320T24KC Cyan;Картридж D320T24KC для Катюша голубой;Катюша
5604cs;5604;Картридж лазерный Cactus CS-D320T24KM D320T24KM пурпурный (24000стр.) для Катюша D330e/D332e;Картридж D320T24KM для Катюша пурпурный;Катюша
5604hb;5604;Тонер-картридж Hi-Black (HB-D320T24KM) для Катюша D330e/D332e, M, 24K;Картридж D320T24KM для Катюша пурпурный;Катюша
5604nv;5604;Картридж NVP совместимый NV-D320T24KM Magenta;Картридж D320T24KM для Катюша пурпурный;Катюша
5605cs;5605;Картридж лазерный Cactus CS-D320T24KY D320T24KY желтый (24000стр.) для Катюша D330e/D332e;Картридж D320T24KY для Катюша желтый;Катюша
5605hb;5605;Тонер-картридж Hi-Black (HB-D320T24KY) для Катюша D330e/D332e, Y, 24K;Картридж D320T24KY для Катюша желтый;Катюша
5618sl;5618;Тонер-картридж Kyocera ECOSYS MA4500ix/MA4500ifx TK-3300 (14.5k) БУЛАТ s-Line;Тонер-картридж TK-3300 для Kyocera черный с чипом;Kyocera
5640sk;5640;T09Y (3017C006) Sakura картридж  для Canon, желтый, 5900 к.,полнофункциональный чип;Картридж T09Y для Canon 3017C006 желтый с чипом;Canon
5647ep;5647;Чернила EasyPrint I-C100BK_PGMT универсальные пигментные для Canon (100мл.) черный;Чернила универсальные пигментные Canon BK 100 мл. черный;Canon
5647t2;5647;IB-C100BK_PG Чернила T2 универсальные для Canon, цвет черный, пигментные (100мл.);Чернила универсальные пигментные Canon BK 100 мл. черный;Canon
5648ep;5648;Чернила EasyPrint I-E100BK универсальные для Epson (100мл.) черный;Чернила универсальные Epson BK 100 мл. IB-E100BK черный;Epson
5648t2;5648;IB-E100BK Чернила T2 универсальные для Epson, цвет черный (100мл.);Чернила универсальные Epson BK 100 мл. IB-E100BK черный;Epson
5650ep;5650;Чернила EasyPrint I-E100LC универсальные для Epson (100мл.) светло-голубой;Чернила универсальные Epson LС 100 мл. светло-голубой;Epson
5651ep;5651;Чернила EasyPrint I-E100LM универсальные для Epson (100мл.) светло-пурпурный;Чернила универсальные Epson LM 100 мл. светло-пурпурный;Epson
5655ep;5655;Чернила EasyPrint I-H100BK универсальные для HP и Lexmark (100мл.) черный;Чернила универсальные HP BK 100 мл. IB-H100BK черный;HP
5655t2;5655;IB-H100BK Чернила T2 универсальные для HP и Lexmark, цвет черный (100мл.);Чернила универсальные HP BK 100 мл. IB-H100BK черный;HP
5656ep;5656;Чернила EasyPrint I-H100C универсальные для HP и Lexmark (100мл.) голубой;Чернила универсальные HP С 100 мл. IB-H100C голубой;HP
5656t2;5656;IB-H100C Чернила T2 универсальные для HP и Lexmark, цвет голубой (100мл.);Чернила универсальные HP С 100 мл. IB-H100C голубой;HP
5657ep;5657;Чернила EasyPrint I-H100M универсальные для HP и Lexmark (100мл.) пурпурный;Чернила универсальные HP M 100 мл. IB-H100M пурпурный;HP
5657t2;5657;IB-H100M Чернила T2 универсальные для HP и Lexmark, цвет пурпурный (100мл.);Чернила универсальные HP M 100 мл. IB-H100M пурпурный;HP
5658ep;5658;Чернила EasyPrint I-H100Y универсальные для HP и Lexmark (100мл.) желтый;Чернила универсальные HP Y 100 мл. IB-H100Y желтый;HP
5658t2;5658;IB-H100Y Чернила T2 универсальные для HP и Lexmark, цвет желтый (100мл.);Чернила универсальные HP Y 100 мл. IB-H100Y желтый;HP
5660ep;5660;Чернила EasyPrint I-H100BK_PGMT универсальные пигментные для HP и Lexmark (100мл.) черный;Чернила универсальные пигментные HP BK 100 мл. черный;HP
5661sp;5661;Заправочный набор Canon SK-C-CL-38/ CL-41/ CL-51 (C/M/Y);Чернила Epson Dye LM светло-пурпурный;Epson
5662sp;5662;Заправочный набор Canon SK-C-CL-511/ CL-513 (C/M/Y);Заправочный комплект CL-511/ CL-513 для Canon;Canon
5663sp;5663;Заправочный набор Canon SK-C-CLI-426 (Bk);Заправочный комплект CLI-426 для Canon;Canon
5664sp;5664;Заправочный набор Canon SK-C-CLI-426 (C/M/Y);Заправочный комплект CLI-426 для Canon;Canon
5665sp;5665;Заправочный набор Canon SK-C-CLI-521 (Bk);Заправочный комплект CLI-521 для Canon;Canon
5666sp;5666;Заправочный набор Canon SK-C-CLI-521 (C/M/Y);Заправочный комплект CLI-521 для Canon;Canon
5667sp;5667;Заправочный набор Canon SK-C-CLI-8 (Bk);Заправочный комплект CLI-8 для Canon;Canon
5668sp;5668;Заправочный набор Canon SK-C-CLI-8 (C/M/Y);Заправочный комплект PG-37/ PG-40/ PG-50(C/M/Y) для Canon;Canon
5669sp;5669;Заправочный набор Canon SK-C-PG-37/ PG-40/ PG-50 (Bk);Заправочный комплект PG-37/ PG-40/ PG-50(Bk) для Canon;Canon
5670sp;5670;Заправочный набор Canon SK-C-PGI-425 (Bk);Заправочный комплект PGI-425 для Canon;Canon
